st0mean,st0var,st1mean,st1var,st2mean,st2var,st3mean,st3var,st4mean,st4var,st5mean,st5var,st6mean,st6var,st7mean,st7var,st8mean,st8var,st9mean,st9var,st10mean,st10var,st11mean,st11var,hotness
0.471181256,0.088683942,0.625913491,0.11655447,0.357945417,0.089661341,0.284739444,0.071146432,0.367941298,0.10403903,0.306884655,0.068548924,0.350350154,0.110614184,0.298666323,0.091380194,0.34461174,0.127240027,0.343937178,0.129548739,0.306679712,0.083423499,0.324174047,0.114544004,1
0.409173848,0.090190744,0.393869242,0.071357623,0.368543834,0.074275134,0.260059435,0.033144517,0.396922734,0.055521682,0.423939079,0.100106069,0.382548291,0.077755635,0.481115899,0.114363743,0.454322437,0.06360804,0.626900446,0.104516152,0.338300149,0.054950082,0.278858841,0.030208145,1
0.408323465,0.071283945,0.404855263,0.062241091,0.28125,0.039973736,0.358339912,0.057449584,0.592225877,0.102919899,0.262850877,0.034625962,0.360075658,0.071464316,0.300803728,0.061350925,0.462171053,0.101052363,0.551507675,0.143765811,0.383287281,0.064051711,0.502596491,0.110949144,0
0.468587642,0.105650139,0.456740227,0.076093834,0.575136192,0.108890319,0.252123581,0.034962065,0.287970996,0.062166767,0.337018916,0.098664031,0.274906683,0.047517267,0.46732913,0.12784923,0.322064313,0.064900971,0.422007566,0.095960532,0.216964691,0.041842271,0.240071879,0.039976569,0
0.425004914,0.113914834,0.275353194,0.050495072,0.584294226,0.13092888,0.243235258,0.048465953,0.271488329,0.068122946,0.19195086,0.044658763,0.273509828,0.063850327,0.345128378,0.084101232,0.246712531,0.049295525,0.542336609,0.110969107,0.201083538,0.02642975,0.2844957,0.061247601,0
0.38441649,0.07367001,0.470919662,0.122596936,0.321207188,0.061976025,0.210113108,0.030294766,0.286450317,0.053555486,0.379353066,0.0778037,0.422522199,0.106813624,0.533300211,0.158004956,0.473026427,0.098409835,0.375936575,0.094410474,0.326024313,0.093248931,0.206131078,0.049383002,0
0.348772837,0.140353736,0.259717548,0.06318702,0.349487981,0.123925521,0.203659856,0.045372842,0.343813702,0.083493719,0.181903846,0.041338462,0.195342548,0.030566593,0.347137019,0.113795424,0.18330649,0.035623991,0.381701923,0.143208168,0.177203125,0.030873806,0.182102163,0.032546695,1
0.274998347,0.094572699,0.320826446,0.078142583,0.453279339,0.1200995,0.155819835,0.033219381,0.306856198,0.097836014,0.15601157,0.034382415,0.35474876,0.10824001,0.363218182,0.128808865,0.197464463,0.04713654,0.351163636,0.11018771,0.146694215,0.022156097,0.220542149,0.076736139,0
0.612954103,0.083243315,0.535650904,0.073274327,0.398029207,0.058672359,0.398621697,0.05269742,0.533388039,0.098372952,0.447312935,0.071478454,0.401638387,0.055304323,0.420463143,0.06277251,0.483553547,0.076302659,0.551873435,0.095523793,0.446883171,0.060028712,0.503312935,0.11238649,1
0.418786916,0.09251776,0.334792523,0.053737424,0.401061682,0.07957506,0.365269159,0.093128772,0.265981308,0.034075259,0.504472897,0.139611442,0.274876636,0.042773032,0.226697196,0.046082832,0.205525234,0.032235838,0.296807477,0.055536234,0.384450467,0.094911608,0.451437383,0.126924889,0
0.575571875,0.084066617,0.543571875,0.070943682,0.464803125,0.060619608,0.491715625,0.087867488,0.448835938,0.056350122,0.460878125,0.070976038,0.500528125,0.081010374,0.514207813,0.075575015,0.4122125,0.052817208,0.44349375,0.069724028,0.447478125,0.066775478,0.445089062,0.056324412,0
0.273891862,0.067997954,0.367340022,0.115961208,0.158241918,0.036821704,0.23939019,0.068190129,0.157940914,0.04008202,0.292461538,0.088192686,0.267326644,0.093002829,0.150615385,0.033884796,0.29077592,0.095803605,0.202697882,0.041850461,0.443500557,0.140792665,0.403187291,0.138567992,0
0.588677955,0.102844213,0.525038339,0.094302309,0.434126518,0.091383811,0.308858147,0.043662274,0.471989776,0.109500102,0.283265176,0.048518696,0.301184026,0.053382164,0.368978275,0.088162136,0.259136102,0.04442125,0.312585942,0.08225942,0.244348243,0.047436792,0.517249201,0.086444016,0
0.628,0.091622684,0.455698653,0.056751285,0.351299663,0.033875503,0.372345118,0.067314936,0.271282828,0.024083034,0.418789562,0.066694109,0.391292929,0.042111571,0.496047138,0.068233664,0.480063973,0.056983349,0.460104377,0.067753174,0.553210438,0.080125762,0.550030303,0.07540476,0
0.5773356,0.073283089,0.5268733,0.076312463,0.427149567,0.068566084,0.514611867,0.037521835,0.791356613,0.083178545,0.4532089,0.049453647,0.265191595,0.022369354,0.242640297,0.025979921,0.299,0.036717892,0.386913473,0.058479832,0.355161928,0.052248593,0.345286156,0.036982854,1
0.40132342,0.104979416,0.110245353,0.007521137,0.127066914,0.015472709,0.646122677,0.123566212,0.103130112,0.008012767,0.156684015,0.037988395,0.106542751,0.012846761,0.374275093,0.108097887,0.111591078,0.022662636,0.11402974,0.01662414,0.479360595,0.16047884,0.129460967,0.023043743,0
0.520905097,0.084878821,0.489817223,0.082477288,0.401376098,0.063388917,0.315205624,0.031540026,0.410956063,0.060866517,0.329513181,0.040282556,0.39127065,0.06187012,0.538688928,0.117787314,0.443344464,0.060775811,0.568101933,0.11395103,0.40240246,0.071299021,0.348413005,0.053756858,0
0.480556338,0.05596024,0.573672535,0.066197298,0.633890845,0.097780794,0.550637324,0.07239933,0.59753169,0.070214686,0.37696831,0.029302411,0.37596831,0.032284439,0.439102113,0.052141697,0.495524648,0.066763792,0.563605634,0.078464788,0.430021127,0.045358584,0.46284507,0.059566328,0
0.363114522,0.118937166,0.194361275,0.039478195,0.341199528,0.106933355,0.179023613,0.029943596,0.377917355,0.115141507,0.274360094,0.081006415,0.251382527,0.044733816,0.352597403,0.123299232,0.18707438,0.036145212,0.362279811,0.127178183,0.12572255,0.021846444,0.248842975,0.059231847,1
0.248531955,0.10775999,0.096265038,0.026792281,0.212176692,0.068501939,0.467802632,0.146582339,0.115740602,0.029334989,0.219265038,0.080178296,0.230327068,0.050627066,0.453697368,0.113772361,0.30487594,0.098249248,0.110105263,0.023962455,0.415065789,0.140673144,0.099156015,0.022569384,0
0.359105825,0.074773267,0.485775728,0.104210659,0.455284466,0.127825881,0.255671845,0.055077088,0.348878641,0.089664215,0.244932039,0.063537848,0.30502233,0.087126356,0.36482233,0.111925742,0.243996117,0.062614144,0.515404854,0.13646927,0.204312621,0.028503434,0.169857282,0.031082311,0
0.750776302,0.080364611,0.588263534,0.132491845,0.379075587,0.067079261,0.292516854,0.052272654,0.400469867,0.069486502,0.362220633,0.070222478,0.331634321,0.061419515,0.331927477,0.052625401,0.279359551,0.055648477,0.339226762,0.091008586,0.275074566,0.054212821,0.58508478,0.099102885,1
0.520116564,0.069445486,0.465920245,0.066524913,0.358219982,0.045755754,0.473162138,0.061408423,0.562134093,0.117769487,0.375629273,0.038003245,0.412280456,0.040954495,0.273166521,0.027376495,0.344245399,0.065556618,0.254733567,0.025133486,0.306228747,0.031474976,0.649353199,0.092530872,0
0.348281849,0.082538881,0.266578354,0.064528544,0.3736708,0.115450906,0.29846336,0.092672294,0.279689966,0.08728639,0.229394589,0.062386331,0.24002593,0.048366321,0.412285231,0.114499469,0.269143179,0.071220377,0.283331454,0.084840156,0.277167982,0.08116662,0.317255919,0.086909823,0
0.60169337,0.113122006,0.507866483,0.105654386,0.363097606,0.097613208,0.301029466,0.065246721,0.32785175,0.088199467,0.276315838,0.06249266,0.302714549,0.08429025,0.29278361,0.080744739,0.320755985,0.0924597,0.366197974,0.109680652,0.365342541,0.109794772,0.439465009,0.117335403,0
